date,runde,frequenzbereich,ausstattung,block,hoechstbieter,hoechstgebot,mindestgebot
2015-05-27,5,"900 MHz (gepaart)","2x5 MHz abstrakt","900 C",Vodafone,78750000,75000000
2015-05-27,5,"900 MHz (gepaart)","2x5 MHz abstrakt","900 D",Vodafone,75020000,75000000
2015-05-27,5,"900 MHz (gepaart)","2x5 MHz abstrakt","900 E",Telekom,78771000,75000000
2015-05-27,5,"900 MHz (gepaart)","2x5 MHz abstrakt","900 F",Telekom,78771000,75000000
2015-05-27,5,"900 MHz (gepaart)","2x5 MHz abstrakt","900 G",Vodafone,78750000,75000000
2015-05-27,5,"1,8 GHz (gepaart)","2x5 MHz abstrakt","1800 A","TEF DE",41364000,37500000
2015-05-27,5,"1,8 GHz (gepaart)","2x5 MHz abstrakt","1800 B",Vodafone,39427000,37500000
2015-05-27,5,"1,8 GHz (gepaart)","2x5 MHz abstrakt","1800 C",Vodafone,39427000,37500000
2015-05-27,5,"1,8 GHz (gepaart)","2x5 MHz abstrakt","1800 D",Vodafone,39427000,37500000
2015-05-27,5,"1,8 GHz (gepaart)","2x5 MHz abstrakt","1800 E",Vodafone,39427000,37500000
2015-05-27,5,"1,8 GHz (gepaart)","2x5 MHz abstrakt","1800 F",Telekom,39427000,37500000
2015-05-27,5,"1,8 GHz (gepaart)","2x5 MHz abstrakt","1800 G","TEF DE",41365000,37500000
2015-05-27,5,"1,8 GHz (gepaart)","2x5 MHz abstrakt","1800 H","TEF DE",41365000,37500000
2015-05-27,5,"1,8 GHz (gepaart)","2x5 MHz abstrakt","1800 I","TEF DE",41365000,37500000
2015-05-27,5,"1,8 GHz (gepaart)","2x5 MHz konkret","1800 J",NULL,NULL,37500000
2015-05-27,5,"1,5 GHz (ungepaart)","1x5 MHz abstrakt","1500 A",Telekom,18750000,18750000
2015-05-27,5,"1,5 GHz (ungepaart)","1x5 MHz abstrakt","1500 B",Telekom,18750000,18750000
2015-05-27,5,"1,5 GHz (ungepaart)","1x5 MHz abstrakt","1500 C",Telekom,18750000,18750000
